instanceId,modelShort,modelLong,strategy,heuristicsInfo,timeLimitSec,runtimeSec,gurobiRuntimeSec,status,bestObj,bestBound,upperBound,mipGapPercent,nodesExplored,lpRootObj,numVars,numConstr,numBinVars,numIntVars,timeFirstIncumbentSec
"j302_2","IEE-300","Interval Event Based Model","VS","with heuristics",300.0,300.24243998527527,300.24,"TIME_LIMIT",51.0,10.0,51.0,80.3922,1,,13981,15390,13950,13950,0.01306295394897461
"j302_2","SEQ-300","Sequencing Model","VS","with heuristics",300.0,0.06128215789794922,0.06,"OPTIMAL",51.0,51.0,51.0,0.0,0,,1658,3938,1626,1626,0.0017859935760498047
"j302_2","FCT-300","Flow-Based Continuous Time Model","STD","without heuristics",300.0,1.5815050601959229,1.58,"OPTIMAL",51.0,51.0,51.0,0.0,41,46.0,4992,40257,992,992,0.356781005859375
"j302_2","DT-300","Discrete Time Model","STD","without heuristics",300.0,0.3981308937072754,0.4,"OPTIMAL",51.0,51.0,51.0,0.0,147,46.0,4687,805,4687,4687,0.2884559631347656
"j302_2","OOE-300","On-Off Event Based Model","STD","without heuristics",300.0,300.00724506378174,300.01,"TIME_LIMIT",51.0,46.0,51.0,9.8039,32957,1.359301,931,18930,900,900,2.6798369884490967
"j302_2","IEE-300","Interval Event Based Model","STD","without heuristics",300.0,300.23326206207275,300.23,"TIME_LIMIT",67.0,10.0,67.0,85.0746,1,,13981,15390,13950,13950,5.54124116897583
"j302_2","SEQ-300","Sequencing Model","STD","without heuristics",300.0,0.1916520595550537,0.19,"OPTIMAL",51.0,51.0,51.0,0.0,1,46.0,1658,3938,1626,1626,0.05665993690490723
"j302_3","FCT-300","Flow-Based Continuous Time Model","VS","with heuristics",300.0,0.13840413093566895,0.14,"OPTIMAL",43.0,43.0,43.0,0.0,0,,4992,40257,992,992,0.012599945068359375
"j302_3","DT-300","Discrete Time Model","VS","with heuristics",300.0,0.12198901176452637,0.12,"OPTIMAL",43.0,43.0,43.0,0.0,0,,4459,781,4459,4459,0.002607107162475586
"j302_3","OOE-300","On-Off Event Based Model","VS","with heuristics",300.0,1.9355478286743164,1.93,"OPTIMAL",43.0,43.0,43.0,0.0,1,2.443971,931,18930,900,900,0.009589910507202148
"j302_3","IEE-300","Interval Event Based Model","VS","with heuristics",300.0,300.28521394729614,300.28,"TIME_LIMIT",43.0,10.0,43.0,76.7442,1,,13981,15390,13950,13950,0.013157844543457031
"j302_3","SEQ-300","Sequencing Model","VS","with heuristics",300.0,0.07329487800598145,0.07,"OPTIMAL",43.0,43.0,43.0,0.0,0,,1644,3910,1612,1612,0.0017900466918945312
"j302_3","FCT-300","Flow-Based Continuous Time Model","STD","without heuristics",300.0,0.4035971164703369,0.4,"OPTIMAL",43.0,43.0,43.0,0.0,1,43.0,4992,40257,992,992,0.3491489887237549
"j302_3","DT-300","Discrete Time Model","STD","without heuristics",300.0,0.22704505920410156,0.23,"OPTIMAL",43.0,43.0,43.0,0.0,1,43.0,4459,781,4459,4459,0.1516709327697754
"j302_3","OOE-300","On-Off Event Based Model","STD","without heuristics",300.0,300.00905299186707,300.01,"TIME_LIMIT",44.0,43.0,44.0,2.2727,38638,2.443971,931,18930,900,900,3.5554311275482178
"j302_3","IEE-300","Interval Event Based Model","STD","without heuristics",300.0,300.38440680503845,300.38,"TIME_LIMIT",1.0E100,10.0,1.0E100,,1,,13981,15390,13950,13950,
"j302_3","SEQ-300","Sequencing Model","STD","without heuristics",300.0,0.04694390296936035,0.05,"OPTIMAL",43.0,43.0,43.0,0.0,1,43.0,1644,3910,1612,1612,0.04667305946350098
"j302_4","FCT-300","Flow-Based Continuous Time Model","VS","with heuristics",300.0,0.30132198333740234,0.3,"OPTIMAL",43.0,43.0,43.0,0.0,1,42.0,4992,40257,992,992,0.012859106063842773
