instanceId,modelKey,modelFamily,modelLongName,strategy,timeLimitSec,heuristicBuildTimeNs,objectiveValue,lowerBound,upperBound,gapPercent,solveTimeSec,nodesExplored,simplexIterations,workUnits,timeLimitReached,solvedOptimal,logFileName
j1201_6,OOE-600,OOE,On-Off Event Based Model,STD,600,6191253,1.0E100,1.0,1.0E100,100.0,600.2332060337067,1,30280,454.54,true,false,output_4.2.txt
j1201_6,SEQ-600,SEQ,Sequencing Model,STD,600,11779667,90.0,75.99999999999852,90.0,15.5556,600.0255360603333,11280,1879750,860.66,true,false,output_4.2.txt
j1201_7,FCT-600,FCT,Flow-Based Continuous Time Model,VS,600,39532221212,125.0,98.0,125.0,21.6,600.0696139335632,1,72167,619.56,true,false,output_4.2.txt
j1201_7,FCT-600,FCT,Flow-Based Continuous Time Model,VH,600,41493877280,123.0,98.0,123.0,20.3252,600.093542098999,1,71640,597.13,true,false,output_4.2.txt
j1201_7,DT-600,DT,Discrete Time Model,VS,600,40347686352,120.0,115.0,120.0,4.1667,600.0073828697205,16496,6459601,1217.97,true,false,output_4.2.txt
j1201_7,DT-600,DT,Discrete Time Model,VH,600,36896021538,120.0,114.0,120.0,5.0,600.0770931243896,14619,4953306,1228.42,true,false,output_4.2.txt
j1201_7,OOE-600,OOE,On-Off Event Based Model,VS,600,36949155618,124.0,1.0,124.0,99.1935,600.2467660903931,1,32033,449.59,true,false,output_4.2.txt
j1201_7,OOE-600,OOE,On-Off Event Based Model,VH,600,40789791099,1.0E100,1.0,1.0E100,100.0,600.183112859726,1,29770,454.52,true,false,output_4.2.txt
j1201_7,SEQ-600,SEQ,Sequencing Model,VS,600,39878265878,123.0,110.0,123.0,10.5691,600.0103800296783,8679,1687178,836.93,true,false,output_4.2.txt
j1201_7,SEQ-600,SEQ,Sequencing Model,VH,600,37794517000,121.0,105.99999999999804,121.0,12.3967,600.0120141506195,7107,1602293,825.79,true,false,output_4.2.txt
j1201_7,FCT-600,FCT,Flow-Based Continuous Time Model,STD,600,89016605,1.0E100,98.0,1.0E100,100.0,600.0190620422363,1,71143,590.79,true,false,output_4.2.txt
j1201_7,DT-600,DT,Discrete Time Model,STD,600,158367583,119.0,114.0,119.0,4.2017,600.0068271160126,5264,2700155,1259.4,true,false,output_4.2.txt
j1201_7,OOE-600,OOE,On-Off Event Based Model,STD,600,18536059,1.0E100,1.0,1.0E100,100.0,600.1446290016174,1,29770,452.53,true,false,output_4.2.txt
j1201_7,SEQ-600,SEQ,Sequencing Model,STD,600,89895201,128.99999998699997,106.00000000000004,128.99999998699997,17.8295,600.0085589885712,9754,1306461,788.11,true,false,output_4.2.txt
j1201_8,FCT-600,FCT,Flow-Based Continuous Time Model,VS,600,43627757370,113.0,85.0,113.0,24.7788,600.0813748836517,1,70554,602.45,true,false,output_4.2.txt
j1201_8,FCT-600,FCT,Flow-Based Continuous Time Model,VH,600,41708538688,114.0,85.0,114.0,25.4386,600.1102430820465,1,73225,620.21,true,false,output_4.2.txt
j1201_8,DT-600,DT,Discrete Time Model,VS,600,42407193787,110.0,109.0,110.0,0.9091,600.0054881572723,15180,6058117,1257.36,true,false,output_4.2.txt
j1201_8,DT-600,DT,Discrete Time Model,VH,600,38621611160,110.0,108.0,110.0,1.8182,600.0172700881958,16727,5093506,1227.45,true,false,output_4.2.txt
j1201_8,OOE-600,OOE,On-Off Event Based Model,VS,600,38833885561,117.0,1.0,117.0,99.1453,600.2460780143738,1,35295,421.29,true,false,output_4.2.txt
j1201_8,OOE-600,OOE,On-Off Event Based Model,VH,600,41373413902,1.0E100,1.0,1.0E100,100.0,600.0732970237732,1,35399,399.88,true,false,output_4.2.txt
j1201_8,SEQ-600,SEQ,Sequencing Model,VS,600,42162177365,114.0,92.0,114.0,19.2982,600.0122151374817,20458,1495988,767.15,true,false,output_4.2.txt
j1201_8,SEQ-600,SEQ,Sequencing Model,VH,600,39390199012,114.0,89.53307942498039,114.0,21.4622,600.0050568580627,1347,1923198,715.63,true,false,output_4.2.txt
j1201_8,FCT-600,FCT,Flow-Based Continuous Time Model,STD,600,82638446,1.0E100,85.0,1.0E100,100.0,600.0295150279999,1,72841,616.08,true,false,output_4.2.txt
j1201_8,DT-600,DT,Discrete Time Model,STD,600,141963324,112.0,107.0,112.0,4.4643,600.00643491745,19689,2883531,1154.77,true,false,output_4.2.txt
j1201_8,OOE-600,OOE,On-Off Event Based Model,STD,600,18254328,1.0E100,1.0,1.0E100,100.0,600.097690820694,1,35399,406.42,true,false,output_4.2.txt
j1201_8,SEQ-600,SEQ,Sequencing Model,STD,600,62558747,115.0,87.55555555555542,115.0,23.8647,600.0235340595245,12895,1708505,848.96,true,false,output_4.2.txt
j1201_9,FCT-600,FCT,Flow-Based Continuous Time Model,VS,600,44594160300,125.0,89.0,125.0,28.8,600.0803570747375,1,70258,601.54,true,false,output_4.2.txt
j1201_9,FCT-600,FCT,Flow-Based Continuous Time Model,VH,600,45786330679,123.0,89.0,123.0,27.6423,600.1000258922577,1,74117,587.51,true,false,output_4.2.txt
j1201_9,DT-600,DT,Discrete Time Model,VS,600,40374371000,112.0,112.0,112.0,0.0,555.1939449310303,22695,5637345,1085.88,false,true,output_4.2.txt
j1201_9,DT-600,DT,Discrete Time Model,VH,600,37884454601,112.0,112.0,112.0,0.0,136.28058099746704,3482,972802,263.55,false,true,output_4.2.txt
j1201_9,OOE-600,OOE,On-Off Event Based Model,VS,600,37866192223,127.0,1.0,127.0,99.2126,600.1157009601593,1,33183,440.23,true,false,output_4.2.txt
j1201_9,OOE-600,OOE,On-Off Event Based Model,VH,600,42408131729,1.0E100,1.0,1.0E100,100.0,600.1136178970337,1,32874,408.84,true,false,output_4.2.txt
j1201_9,SEQ-600,SEQ,Sequencing Model,VS,600,40342941984,125.0,104.0,125.0,16.8,600.0078520774841,7244,1634564,840.22,true,false,output_4.2.txt
j1201_9,SEQ-600,SEQ,Sequencing Model,VH,600,38492773355,123.99999998748612,101.99999999999979,123.99999998748612,17.7419,600.0100090503693,8550,1612300,840.41,true,false,output_4.2.txt
j1201_9,FCT-600,FCT,Flow-Based Continuous Time Model,STD,600,82440767,1.0E100,89.0,1.0E100,100.0,600.0275511741638,1,74408,597.0,true,false,output_4.2.txt
j1201_9,DT-600,DT,Discrete Time Model,STD,600,227063566,112.0,112.0,112.0,0.0,279.9085578918457,3796,738322,598.88,false,true,output_4.2.txt
j1201_9,OOE-600,OOE,On-Off Event Based Model,STD,600,20448706,1.0E100,1.0,1.0E100,100.0,600.1371469497681,1,32874,411.52,true,false,output_4.2.txt
j1201_9,SEQ-600,SEQ,Sequencing Model,STD,600,92041238,136.0,100.00000000000004,136.0,26.4706,600.0237560272217,14677,1484496,810.99,true,false,output_4.2.txt
j1201_10,FCT-600,FCT,Flow-Based Continuous Time Model,VS,600,41057970607,114.0,89.0,114.0,21.9298,600.0734710693359,1,61802,622.91,true,false,output_4.2.txt
j1201_10,FCT-600,FCT,Flow-Based Continuous Time Model,VH,600,40247698992,114.0,89.0,114.0,21.9298,600.1017220020294,1,68914,636.97,true,false,output_4.2.txt
j1201_10,DT-600,DT,Discrete Time Model,VS,600,41834956683,112.0,102.0,112.0,8.9286,600.0103108882904,5057,5910216,1436.11,true,false,output_4.2.txt
j1201_10,DT-600,DT,Discrete Time Model,VH,600,38204823483,112.0,102.0,112.0,8.9286,600.0061728954315,3989,5071994,1405.45,true,false,output_4.2.txt
j1201_10,OOE-600,OOE,On-Off Event Based Model,VS,600,38110429440,114.0,1.0,114.0,99.1228,600.1787831783295,1,31303,423.47,true,false,output_4.2.txt
j1201_10,OOE-600,OOE,On-Off Event Based Model,VH,600,41619031973,1.0E100,1.0,1.0E100,100.0,600.1219258308411,1,33556,411.92,true,false,output_4.2.txt
j1201_10,SEQ-600,SEQ,Sequencing Model,VS,600,41624868650,114.0,98.99999999999989,114.0,13.1579,600.008749961853,6525,1689872,863.79,true,false,output_4.2.txt
j1201_10,SEQ-600,SEQ,Sequencing Model,VH,600,37873912082,113.99999998849992,97.99999999999983,113.99999998849992,14.0351,600.0164728164673,4910,1680734,843.35,true,false,output_4.2.txt
j1201_10,FCT-600,FCT,Flow-Based Continuous Time Model,STD,600,82402895,1.0E100,89.0,1.0E100,100.0,600.0251400470734,1,68928,632.54,true,false,output_4.2.txt
j1201_10,DT-600,DT,Discrete Time Model,STD,600,199498371,116.0,100.0,116.0,13.7931,600.0063049793243,5443,2579640,1515.64,true,false,output_4.2.txt
j1201_10,OOE-600,OOE,On-Off Event Based Model,STD,600,17975320,1.0E100,1.0,1.0E100,100.0,600.1138498783112,1,33556,408.27,true,false,output_4.2.txt
j1201_10,SEQ-600,SEQ,Sequencing Model,STD,600,96487541,130.0,96.99999999993042,130.0,25.3846,600.0071861743927,14564,1683472,804.67,true,false,output_4.2.txt
j1202_1,FCT-600,FCT,Flow-Based Continuous Time Model,VS,600,44102967188,91.0,70.0,91.0,23.0769,600.06813621521,1,65914,601.76,true,false,output_4.2.txt
j1202_1,FCT-600,FCT,Flow-Based Continuous Time Model,VH,600,40156017997,92.0,70.0,92.0,23.913,600.1540451049805,1,76860,571.97,true,false,output_4.2.txt
j1202_1,DT-600,DT,Discrete Time Model,VS,600,40695423918,87.0,87.0,87.0,0.0,47.56588697433472,3587,568216,87.58,false,true,output_4.2.txt
j1202_1,DT-600,DT,Discrete Time Model,VH,600,37703050447,87.0,87.0,87.0,0.0,137.34933996200562,14457,2020416,262.17,false,true,output_4.2.txt
j1202_1,OOE-600,OOE,On-Off Event Based Model,VS,600,37743878564,91.0,1.0,91.0,98.9011,600.3718099594116,1,31155,432.8,true,false,output_4.2.txt
j1202_1,OOE-600,OOE,On-Off Event Based Model,VH,600,37694712234,1.0E100,1.0,1.0E100,100.0,600.1482119560242,1,26888,412.66,true,false,output_4.2.txt
j1202_1,SEQ-600,SEQ,Sequencing Model,VS,600,37719113843,89.99999999080023,77.99999999999989,89.99999999080023,13.3333,600.0112390518188,8609,1711370,772.48,true,false,output_4.2.txt
j1202_1,SEQ-600,SEQ,Sequencing Model,VH,600,37415849904,89.99999903845666,76.99999949999973,89.99999903845666,14.4444,600.0317530632019,2343,1973873,833.83,true,false,output_4.2.txt
j1202_1,FCT-600,FCT,Flow-Based Continuous Time Model,STD,600,85280598,1.0E100,70.0,1.0E100,100.0,601.2938339710236,1,76860,592.02,true,false,output_4.2.txt
j1202_1,DT-600,DT,Discrete Time Model,STD,600,50722970,87.0,87.0,87.0,0.0,228.20808601379395,2443,934761,475.2,false,true,output_4.2.txt
j1202_1,OOE-600,OOE,On-Off Event Based Model,STD,600,6277308,1.0E100,1.0,1.0E100,100.0,600.1244361400604,1,26888,412.99,true,false,output_4.2.txt
j1202_1,SEQ-600,SEQ,Sequencing Model,STD,600,88191025,93.0,74.00149216612785,93.0,20.4285,600.0068030357361,8830,1668716,856.2,true,false,output_4.2.txt
j1202_2,FCT-600,FCT,Flow-Based Continuous Time Model,VS,600,41084762487,79.0,73.0,79.0,7.5949,600.0744731426239,1,74325,695.22,true,false,output_4.2.txt
j1202_2,FCT-600,FCT,Flow-Based Continuous Time Model,VH,600,39308381736,1.0E100,73.0,1.0E100,100.0,600.0489859580994,1,70569,691.59,true,false,output_4.2.txt
j1202_2,DT-600,DT,Discrete Time Model,VS,600,43799431373,75.0,75.0,75.0,0.0,77.79665517807007,15355,1263522,133.96,false,true,output_4.2.txt
j1202_2,DT-600,DT,Discrete Time Model,VH,600,38024933477,75.0,75.0,75.0,0.0,63.16331601142883,15574,968507,100.78,false,true,output_4.2.txt
j1202_2,OOE-600,OOE,On-Off Event Based Model,VS,600,37905624106,79.0,1.0,79.0,98.7342,600.3663408756256,1,32400,445.6,true,false,output_4.2.txt
j1202_2,OOE-600,OOE,On-Off Event Based Model,VH,600,39080434264,1.0E100,1.0,1.0E100,100.0,600.0921900272369,1,31835,442.81,true,false,output_4.2.txt
j1202_2,SEQ-600,SEQ,Sequencing Model,VS,600,42183094465,81.0,73.00000000000001,81.0,9.8765,600.0576908588409,14505,1771939,837.24,true,false,output_4.2.txt
j1202_2,SEQ-600,SEQ,Sequencing Model,VH,600,37735810524,78.99999999199999,73.00000000000001,78.99999999199999,7.5949,600.0137598514557,8251,1819344,839.63,true,false,output_4.2.txt
j1202_2,FCT-600,FCT,Flow-Based Continuous Time Model,STD,600,118690770,1.0E100,73.0,1.0E100,100.0,600.035206079483,1,73430,611.35,true,false,output_4.2.txt
j1202_2,DT-600,DT,Discrete Time Model,STD,600,218471666,75.0,75.0,75.0,0.0,116.76074194908142,8354,769652,205.62,false,true,output_4.2.txt
j1202_2,OOE-600,OOE,On-Off Event Based Model,STD,600,25379400,1.0E100,1.0,1.0E100,100.0,600.0595679283142,1,31835,441.91,true,false,output_4.2.txt
j1202_2,SEQ-600,SEQ,Sequencing Model,STD,600,99488403,76.99999998429985,73.00000000000001,76.99999998429985,5.1948,600.0131878852844,7690,1496721,798.75,true,false,output_4.2.txt
j1202_3,FCT-600,FCT,Flow-Based Continuous Time Model,VS,600,41335163916,97.0,78.0,97.0,19.5876,600.07075715065,1,71781,655.93,true,false,output_4.2.txt
j1202_3,FCT-600,FCT,Flow-Based Continuous Time Model,VH,600,42075845103,1.0E100,78.0,1.0E100,100.0,600.0416121482849,1,74433,683.62,true,false,output_4.2.txt
j1202_3,DT-600,DT,Discrete Time Model,VS,600,43387777520,92.0,91.0,92.0,1.087,600.0414559841156,33320,6981415,1240.01,true,false,output_4.2.txt
j1202_3,DT-600,DT,Discrete Time Model,VH,600,37823751041,93.0,91.0,93.0,2.1505,600.0421261787415,42437,8091620,1176.11,true,false,output_4.2.txt
j1202_3,OOE-600,OOE,On-Off Event Based Model,VS,600,37840120484,98.0,1.0,98.0,98.9796,600.180459022522,1,33952,418.13,true,false,output_4.2.txt
j1202_3,OOE-600,OOE,On-Off Event Based Model,VH,600,43398263400,1.0E100,1.0,1.0E100,100.0,600.0773448944092,1,27041,405.61,true,false,output_4.2.txt
j1202_3,SEQ-600,SEQ,Sequencing Model,VS,600,41805288569,97.99999999009998,83.0,97.99999999009998,15.3061,600.0230150222778,3527,2568350,1019.7,true,false,output_4.2.txt
j1202_3,SEQ-600,SEQ,Sequencing Model,VH,600,37788292184,96.9999999901918,88.0,96.9999999901918,9.2784,600.0096409320831,5069,1863226,837.6,true,false,output_4.2.txt
j1202_3,FCT-600,FCT,Flow-Based Continuous Time Model,STD,600,112995287,1.0E100,78.0,1.0E100,100.0,600.1705219745636,1,76143,604.8,true,false,output_4.2.txt
j1202_3,DT-600,DT,Discrete Time Model,STD,600,251815164,96.0,90.00000000000009,96.0,6.25,600.0075509548187,7027,1620863,1414.64,true,false,output_4.2.txt
